"DATE","TIME PERIOD","HICP - Overall index (ICP.M.U2.N.000000.4.INX)"
"1996-01-31","1996Jan","70.97"
"1996-02-29","1996Feb","71.29"
"1996-03-31","1996Mar","71.54"
"1996-04-30","1996Apr","71.66"
"1996-05-31","1996May","71.83"
"1996-06-30","1996Jun","71.84"
"1996-07-31","1996Jul","71.84"
"1996-08-31","1996Aug","71.80"
"1996-09-30","1996Sep","71.93"
"1996-10-31","1996Oct","72.00"
"1996-11-30","1996Nov","72.01"
"1996-12-31","1996Dec","72.19"
"1997-01-31","1997Jan","72.42"
"1997-02-28","1997Feb","72.59"
"1997-03-31","1997Mar","72.65"
"1997-04-30","1997Apr","72.60"
"1997-05-31","1997May","72.80"
"1997-06-30","1997Jun","72.83"
"1997-07-31","1997Jul","72.90"
"1997-08-31","1997Aug","73.02"
"1997-09-30","1997Sep","73.07"
"1997-10-31","1997Oct","73.09"
"1997-11-30","1997Nov","73.18"
"1997-12-31","1997Dec","73.26"
"1998-01-31","1998Jan","73.20"
"1998-02-28","1998Feb","73.40"
"1998-03-31","1998Mar","73.46"
"1998-04-30","1998Apr","73.61"
"1998-05-31","1998May","73.76"
"1998-06-30","1998Jun","73.80"
"1998-07-31","1998Jul","73.83"
"1998-08-31","1998Aug","73.85"
"1998-09-30","1998Sep","73.79"
"1998-10-31","1998Oct","73.77"
"1998-11-30","1998Nov","73.77"
"1998-12-31","1998Dec","73.81"
"1999-01-31","1999Jan","73.76"
"1999-02-28","1999Feb","73.94"
"1999-03-31","1999Mar","74.15"
"1999-04-30","1999Apr","74.40"
"1999-05-31","1999May","74.45"
"1999-06-30","1999Jun","74.45"
"1999-07-31","1999Jul","74.58"
"1999-08-31","1999Aug","74.67"
"1999-09-30","1999Sep","74.71"
"1999-10-31","1999Oct","74.74"
"1999-11-30","1999Nov","74.84"
"1999-12-31","1999Dec","75.09"
"2000-01-31","2000Jan","75.13"
"2000-02-29","2000Feb","75.37"
"2000-03-31","2000Mar","75.60"
"2000-04-30","2000Apr","75.67"
"2000-05-31","2000May","75.76"
"2000-06-30","2000Jun","76.04"
"2000-07-31","2000Jul","76.14"
"2000-08-31","2000Aug","76.20"
"2000-09-30","2000Sep","76.50"
"2000-10-31","2000Oct","76.52"
"2000-11-30","2000Nov","76.68"
"2000-12-31","2000Dec","76.96"
"2001-01-31","2001Jan","76.63"
"2001-02-28","2001Feb","76.86"
"2001-03-31","2001Mar","77.27"
"2001-04-30","2001Apr","77.73"
"2001-05-31","2001May","78.10"
"2001-06-30","2001Jun","78.21"
"2001-07-31","2001Jul","78.03"
"2001-08-31","2001Aug","77.97"
"2001-09-30","2001Sep","78.18"
"2001-10-31","2001Oct","78.24"
"2001-11-30","2001Nov","78.19"
"2001-12-31","2001Dec","78.54"
"2002-01-31","2002Jan","78.63"
"2002-02-28","2002Feb","78.76"
"2002-03-31","2002Mar","79.21"
"2002-04-30","2002Apr","79.56"
"2002-05-31","2002May","79.71"
"2002-06-30","2002Jun","79.67"
"2002-07-31","2002Jul","79.59"
"2002-08-31","2002Aug","79.64"
"2002-09-30","2002Sep","79.84"
"2002-10-31","2002Oct","80.03"
"2002-11-30","2002Nov","79.97"
"2002-12-31","2002Dec","80.36"
"2003-01-31","2003Jan","80.30"
"2003-02-28","2003Feb","80.62"
"2003-03-31","2003Mar","81.08"
"2003-04-30","2003Apr","81.21"
"2003-05-31","2003May","81.15"
"2003-06-30","2003Jun","81.25"
"2003-07-31","2003Jul","81.13"
"2003-08-31","2003Aug","81.25"
"2003-09-30","2003Sep","81.54"
"2003-10-31","2003Oct","81.66"
"2003-11-30","2003Nov","81.70"
"2003-12-31","2003Dec","81.95"
"2004-01-31","2004Jan","81.75"
"2004-02-29","2004Feb","81.94"
"2004-03-31","2004Mar","82.46"
"2004-04-30","2004Apr","82.88"
"2004-05-31","2004May","83.14"
"2004-06-30","2004Jun","83.18"
"2004-07-31","2004Jul","83.00"
