DATE,CPILFESL
2010-01-01,220.633
2010-02-01,220.731
2010-03-01,220.783
2010-04-01,220.822
2010-05-01,220.962
2010-06-01,221.194
2010-07-01,221.363
2010-08-01,221.509
2010-09-01,221.711
2010-10-01,221.830
2010-11-01,222.149
2010-12-01,222.343
2011-01-01,222.803
2011-02-01,223.213
2011-03-01,223.454
2011-04-01,223.727
2011-05-01,224.175
2011-06-01,224.697
2011-07-01,225.218
2011-08-01,225.862
2011-09-01,226.118
2011-10-01,226.506
2011-11-01,226.899
2011-12-01,227.405
2012-01-01,227.877
2012-02-01,228.034
2012-03-01,228.478
2012-04-01,228.905
2012-05-01,229.224
2012-06-01,229.623
2012-07-01,229.970
2012-08-01,230.233
2012-09-01,230.659
2012-10-01,231.024
2012-11-01,231.330
2012-12-01,231.725
2013-01-01,232.229
2013-02-01,232.569
2013-03-01,232.794
2013-04-01,232.832
2013-05-01,232.996
2013-06-01,233.350
2013-07-01,233.880
2013-08-01,234.336
2013-09-01,234.700
2013-10-01,234.921
2013-11-01,235.359
2013-12-01,235.759
2014-01-01,235.961
2014-02-01,236.185
2014-03-01,236.625
2014-04-01,237.072
2014-05-01,237.529
2014-06-01,237.837
2014-07-01,238.195
2014-08-01,238.405
2014-09-01,238.786
2014-10-01,239.191
2014-11-01,239.458
2014-12-01,239.584
2015-01-01,239.811
2015-02-01,240.172
2015-03-01,240.755
2015-04-01,241.346
2015-05-01,241.688
2015-06-01,242.064
2015-07-01,242.565
2015-08-01,242.817
2015-09-01,243.316
2015-10-01,243.768
2015-11-01,244.241
2015-12-01,244.547
2016-01-01,244.955
2016-02-01,245.510
2016-03-01,245.913
2016-04-01,246.551
2016-05-01,247.137
2016-06-01,247.540
2016-07-01,247.829
2016-08-01,248.423
2016-09-01,248.842
2016-10-01,249.142
2016-11-01,249.481
2016-12-01,249.920
2017-01-01,250.467
2017-02-01,250.998
2017-03-01,250.944
2017-04-01,251.227
2017-05-01,251.430
2017-06-01,251.746
2017-07-01,251.985
2017-08-01,252.535
2017-09-01,252.812
2017-10-01,253.526
2017-11-01,253.816
2017-12-01,254.344
2018-01-01,255.204
2018-02-01,255.711
2018-03-01,256.271
2018-04-01,256.630
2018-05-01,257.145
2018-06-01,257.399
2018-07-01,257.699
2018-08-01,257.891
2018-09-01,258.368
2018-10-01,258.917
2018-11-01,259.439
2018-12-01,260.063
2019-01-01,260.686
2019-02-01,261.067
2019-03-01,261.537
2019-04-01,261.976
2019-05-01,262.304
2019-06-01,262.859
2019-07-01,263.313
2019-08-01,263.975
2019-09-01,264.425
2019-10-01,264.940
2019-11-01,265.484
2019-12-01,265.924
2020-01-01,266.626
2020-02-01,267.283
2020-03-01,267.090
2020-04-01,265.771
2020-05-01,265.574
2020-06-01,265.952
2020-07-01,267.352
2020-08-01,268.469
2020-09-01,268.938
2020-10-01,269.236
2020-11-01,269.901
2020-12-01,270.267
2021-01-01,270.383
2021-02-01,270.727
2021-03-01,271.526
2021-04-01,273.615
2021-05-01,275.654
2021-06-01,277.676
2021-07-01,278.522
2021-08-01,279.057
2021-09-01,279.755
2021-10-01,281.588
2021-11-01,283.340
2021-12-01,285.193
2022-01-01,286.792
2022-02-01,288.147
2022-03-01,289.046
2022-04-01,290.410
2022-05-01,292.251
2022-06-01,294.017
2022-07-01,294.925
2022-08-01,296.639
2022-09-01,298.339
2022-10-01,299.333
2022-11-01,300.261
2022-12-01,301.460
2023-01-01,302.702
2023-02-01,304.070
2023-03-01,305.240
2023-04-01,306.489
2023-05-01,307.824
2023-06-01,308.309
2023-07-01,308.801
2023-08-01,309.661
