DATE,A939RC0Q052SBEA
2010-01-01,47797.0
2010-04-01,48403.0
2010-07-01,48821.0
2010-10-01,49256.0
2011-01-01,49302.0
2011-04-01,49873.0
2011-07-01,50056.0
2011-10-01,50573.0
2012-01-01,51205.0
2012-04-01,51554.0
2012-07-01,51803.0
2012-10-01,52015.0
2013-01-01,52652.0
2013-04-01,52816.0
2013-07-01,53415.0
2013-10-01,54051.0
2014-01-01,53972.0
2014-04-01,54878.0
2014-07-01,55652.0
2014-10-01,55869.0
2015-01-01,56243.0
2015-04-01,56815.0
2015-07-01,57072.0
2015-10-01,57055.0
2016-01-01,57234.0
2016-04-01,57705.0
2016-07-01,58144.0
2016-10-01,58636.0
2017-01-01,59132.0
2017-04-01,59527.0
2017-07-01,60196.0
2017-10-01,61146.0
2018-01-01,61960.0
2018-04-01,62646.0
2018-07-01,63210.0
2018-10-01,63479.0
2019-01-01,63977.0
2019-04-01,64754.0
2019-07-01,65595.0
2019-10-01,66129.0
2020-01-01,65473.0
2020-04-01,60034.0
2020-07-01,65229.0
2020-10-01,66330.0
2021-01-01,68075.0
2021-04-01,70126.0
2021-07-01,71670.0
2021-10-01,74085.0
2022-01-01,75168.0
2022-04-01,76636.0
2022-07-01,77875.0
2022-10-01,79000.0
2023-01-01,80126.0
2023-04-01,80781.0
