"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EU","TERMTRADE","TOT","RT","A","1995",100.310318819477,
"EU","TERMTRADE","TOT","RT","A","1996",100.282949294759,
"EU","TERMTRADE","TOT","RT","A","1997",100.001939850889,
"EU","TERMTRADE","TOT","RT","A","1998",101.530076755705,
"EU","TERMTRADE","TOT","RT","A","1999",101.377710657937,
"EU","TERMTRADE","TOT","RT","A","2000",98.553092799852,
"EU","TERMTRADE","TOT","RT","A","2001",99.0394797932439,
"EU","TERMTRADE","TOT","RT","A","2002",100.337486008618,
"EU","TERMTRADE","TOT","RT","A","2003",100.972951376735,
"EU","TERMTRADE","TOT","RT","A","2004",100.470648407424,
"EU","TERMTRADE","TOT","RT","A","2005",99.4656568749207,
"EU","TERMTRADE","TOT","RT","A","2006",98.357185109531,
"EU","TERMTRADE","TOT","RT","A","2007",98.9340911780816,
"EU","TERMTRADE","TOT","RT","A","2008",97.7232368245627,
"EU","TERMTRADE","TOT","RT","A","2009",100.491214364228,
"EU","TERMTRADE","TOT","RT","A","2010",98.6498606731548,
"EU","TERMTRADE","TOT","RT","A","2011",96.7555553268758,
"EU","TERMTRADE","TOT","RT","A","2012",96.2763679998387,
"EU","TERMTRADE","TOT","RT","A","2013",97.1275331449751,
"EU","TERMTRADE","TOT","RT","A","2014",97.9886570488592,
"EU","TERMTRADE","TOT","RT","A","2015",100,
"EU","TERMTRADE","TOT","RT","A","2016",101.096089032434,
"EU","TERMTRADE","TOT","RT","A","2017",100.289651561901,
"EU","TERMTRADE","TOT","RT","A","2018",99.6498666053402,
"EU","TERMTRADE","TOT","RT","A","2019",100.191851231271,
"EU","TERMTRADE","TOT","RT","A","2020",101.739967214006,
"EU","TERMTRADE","TOT","RT","A","2021",99.9742737744713,
"EU","TERMTRADE","TOT","RT","A","2022",96.093069237822,
