"DATE","TIME PERIOD","(LFSI.M.U2.S.UNEHRT.TOTAL0.15_74.T)"
"1995-01-31","1995Jan","10.885272"
"1995-02-28","1995Feb","10.843466"
"1995-03-31","1995Mar","10.791312"
"1995-04-30","1995Apr","10.733899"
"1995-05-31","1995May","10.742418"
"1995-06-30","1995Jun","10.783862"
"1995-07-31","1995Jul","10.847386"
"1995-08-31","1995Aug","10.890227"
"1995-09-30","1995Sep","10.933675"
"1995-10-31","1995Oct","10.958437"
"1995-11-30","1995Nov","10.975875"
"1995-12-31","1995Dec","10.959320"
"1996-01-31","1996Jan","10.935438"
"1996-02-29","1996Feb","10.928487"
"1996-03-31","1996Mar","10.924512"
"1996-04-30","1996Apr","11.007159"
"1996-05-31","1996May","11.037094"
"1996-06-30","1996Jun","11.074693"
"1996-07-31","1996Jul","11.035945"
"1996-08-31","1996Aug","11.009823"
"1996-09-30","1996Sep","11.019351"
"1996-10-31","1996Oct","11.006640"
"1996-11-30","1996Nov","10.995774"
"1996-12-31","1996Dec","10.977442"
"1997-01-31","1997Jan","10.979370"
"1997-02-28","1997Feb","10.985588"
"1997-03-31","1997Mar","10.971176"
"1997-04-30","1997Apr","11.008183"
"1997-05-31","1997May","10.998666"
"1997-06-30","1997Jun","11.003753"
"1997-07-31","1997Jul","10.914252"
"1997-08-31","1997Aug","10.859572"
"1997-09-30","1997Sep","10.839778"
"1997-10-31","1997Oct","10.841537"
"1997-11-30","1997Nov","10.777647"
"1997-12-31","1997Dec","10.718973"
"1998-01-31","1998Jan","10.632580"
"1998-02-28","1998Feb","10.553739"
"1998-03-31","1998Mar","10.506537"
"1998-04-30","1998Apr","10.542909"
"1998-05-31","1998May","10.497717"
"1998-06-30","1998Jun","10.477555"
"1998-07-31","1998Jul","10.393132"
"1998-08-31","1998Aug","10.327119"
"1998-09-30","1998Sep","10.257920"
"1998-10-31","1998Oct","10.217992"
"1998-11-30","1998Nov","10.148053"
"1998-12-31","1998Dec","10.072470"
"1999-01-31","1999Jan","9.912632"
"1999-02-28","1999Feb","9.817202"
"1999-03-31","1999Mar","9.741778"
