"DATE","TIME PERIOD","HICP - All-items excluding energy and seasonal food (ICP.M.U2.N.XESEAS.4.INX)"
"1996-01-31","1996Jan","73.77"
"1996-02-29","1996Feb","74.08"
"1996-03-31","1996Mar","74.27"
"1996-04-30","1996Apr","74.32"
"1996-05-31","1996May","74.48"
"1996-06-30","1996Jun","74.59"
"1996-07-31","1996Jul","74.66"
"1996-08-31","1996Aug","74.75"
"1996-09-30","1996Sep","74.83"
"1996-10-31","1996Oct","74.84"
"1996-11-30","1996Nov","74.83"
"1996-12-31","1996Dec","74.97"
"1997-01-31","1997Jan","74.97"
"1997-02-28","1997Feb","75.23"
"1997-03-31","1997Mar","75.39"
"1997-04-30","1997Apr","75.34"
"1997-05-31","1997May","75.54"
"1997-06-30","1997Jun","75.60"
"1997-07-31","1997Jul","75.71"
"1997-08-31","1997Aug","75.83"
"1997-09-30","1997Sep","75.89"
"1997-10-31","1997Oct","75.88"
"1997-11-30","1997Nov","75.95"
"1997-12-31","1997Dec","76.05"
"1998-01-31","1998Jan","75.95"
"1998-02-28","1998Feb","76.24"
"1998-03-31","1998Mar","76.37"
"1998-04-30","1998Apr","76.45"
"1998-05-31","1998May","76.59"
"1998-06-30","1998Jun","76.66"
"1998-07-31","1998Jul","76.74"
"1998-08-31","1998Aug","76.87"
"1998-09-30","1998Sep","76.90"
"1998-10-31","1998Oct","76.88"
"1998-11-30","1998Nov","76.87"
"1998-12-31","1998Dec","76.91"
"1999-01-31","1999Jan","76.78"
"1999-02-28","1999Feb","77.03"
"1999-03-31","1999Mar","77.17"
"1999-04-30","1999Apr","77.18"
"1999-05-31","1999May","77.26"
"1999-06-30","1999Jun","77.30"
"1999-07-31","1999Jul","77.43"
"1999-08-31","1999Aug","77.52"
"1999-09-30","1999Sep","77.49"
"1999-10-31","1999Oct","77.52"
"1999-11-30","1999Nov","77.59"
"1999-12-31","1999Dec","77.69"
"2000-01-31","2000Jan","77.56"
"2000-02-29","2000Feb","77.75"
"2000-03-31","2000Mar","77.86"
"2000-04-30","2000Apr","77.97"
"2000-05-31","2000May","77.96"
"2000-06-30","2000Jun","78.08"
"2000-07-31","2000Jul","78.18"
"2000-08-31","2000Aug","78.33"
"2000-09-30","2000Sep","78.35"
"2000-10-31","2000Oct","78.44"
"2000-11-30","2000Nov","78.50"
"2000-12-31","2000Dec","78.79"
"2001-01-31","2001Jan","78.50"
"2001-02-28","2001Feb","78.68"
"2001-03-31","2001Mar","79.10"
"2001-04-30","2001Apr","79.50"
