DATE,W369RG3Q066SBEA
1947-01-01,140.193
1947-04-01,140.667
1947-07-01,140.318
1947-10-01,139.037
1948-01-01,136.725
1948-04-01,135.534
1948-07-01,135.268
1948-10-01,135.338
1949-01-01,136.008
1949-04-01,134.879
1949-07-01,133.321
1949-10-01,131.381
1950-01-01,126.87
1950-04-01,124.474
1950-07-01,121.7
1950-10-01,118.437
1951-01-01,115.839
1951-04-01,113.933
1951-07-01,113.951
1951-10-01,115.352
1952-01-01,117.255
1952-04-01,118.818
1952-07-01,120.701
1952-10-01,122.542
1953-01-01,124.114
1953-04-01,125.123
1953-07-01,125.289
1953-10-01,124.743
1954-01-01,122.75
1954-04-01,121.751
1954-07-01,120.741
1954-10-01,120.623
1955-01-01,122.505
1955-04-01,122.957
1955-07-01,123.349
1955-10-01,123.823
1956-01-01,124.431
1956-04-01,124.756
1956-07-01,125.411
1956-10-01,125.678
1957-01-01,126.862
1957-04-01,127.73
1957-07-01,128.86
1957-10-01,129.993
1958-01-01,131.853
1958-04-01,132.713
1958-07-01,132.865
1958-10-01,132.826
1959-01-01,131.826
1959-04-01,131.429
1959-07-01,131.917
1959-10-01,132.03
1960-01-01,132.57
1960-04-01,132.378
1960-07-01,132.316
1960-10-01,132.26
1961-01-01,132.744
1961-04-01,134.652
1961-07-01,134.541
1961-10-01,135.599
1962-01-01,137.409
1962-04-01,135.855
1962-07-01,136.256
1962-10-01,135.767
1963-01-01,134.734
1963-04-01,133.964
1963-07-01,132.864
1963-10-01,132.305
1964-01-01,131.438
1964-04-01,130.698
1964-07-01,131.92
1964-10-01,132.941
1965-01-01,134.858
1965-04-01,134.994
1965-07-01,134.19
1965-10-01,132.305
1966-01-01,133.865
1966-04-01,133.57
1966-07-01,135.511
1966-10-01,137.04
1967-01-01,139.487
1967-04-01,139.63
1967-07-01,139.431
1967-10-01,140.112
1968-01-01,140.177
1968-04-01,141.993
1968-07-01,139.959
1968-10-01,139.95
1969-01-01,141.454
1969-04-01,141.076
1969-07-01,141.974
1969-10-01,141.604
1970-01-01,140.118
1970-04-01,141.242
1970-07-01,137.544
1970-10-01,136.676
1971-01-01,137.207
1971-04-01,137.037
1971-07-01,134.718
1971-10-01,133.561
1972-01-01,134.867
1972-04-01,132.507
1972-07-01,130.916
1972-10-01,130.994
1973-01-01,130.872
1973-04-01,126.766
1973-07-01,128.005
1973-10-01,125.09
1974-01-01,115.476
1974-04-01,107.141
1974-07-01,107.649
1974-10-01,109.636
1975-01-01,110.975
1975-04-01,110.371
1975-07-01,112.546
1975-10-01,113.053
1976-01-01,112.836
1976-04-01,112.351
1976-07-01,111.03
1976-10-01,111.895
1977-01-01,109.281
1977-04-01,107.939
1977-07-01,106.018
1977-10-01,105.451
1978-01-01,105.736
1978-04-01,105.801
1978-07-01,105.772
1978-10-01,107.357
1979-01-01,106.368
1979-04-01,105.228
1979-07-01,100.217
1979-10-01,95.72
1980-01-01,90.952
1980-04-01,88.97
1980-07-01,88.986
1980-10-01,90.408
1981-01-01,90.347
1981-04-01,90.196
1981-07-01,92.754
1981-10-01,92.859
1982-01-01,93.696
1982-04-01,95.303
1982-07-01,95.762
1982-10-01,95.943
1983-01-01,98.419
1983-04-01,98.777
1983-07-01,99.143
1983-10-01,100.758
1984-01-01,100.587
1984-04-01,100.673
1984-07-01,101.453
1984-10-01,101.606
1985-01-01,102.957
1985-04-01,102.107
1985-07-01,101.373
1985-10-01,99.197
1986-01-01,98.502
1986-04-01,101.118
1986-07-01,99.851
1986-10-01,99.403
1987-01-01,97.262
1987-04-01,96.16
1987-07-01,95.47
1987-10-01,95.559
1988-01-01,95.318
1988-04-01,95.603
1988-07-01,97.838
1988-10-01,96.869
1989-01-01,96.25
1989-04-01,95.346
1989-07-01,96.425
1989-10-01,95.621
1990-01-01,94.257
1990-04-01,96.131
1990-07-01,94.284
1990-10-01,90.617
1991-01-01,93.715
1991-04-01,95.819
1991-07-01,96.612
1991-10-01,96.338
1992-01-01,95.731
1992-04-01,95.45
1992-07-01,94.242
1992-10-01,94.835
1993-01-01,95.525
1993-04-01,95.456
1993-07-01,96.246
1993-10-01,96.596
1994-01-01,97.085
1994-04-01,96.558
1994-07-01,95.407
1994-10-01,95.64
1995-01-01,95.869
1995-04-01,95.256
1995-07-01,95.617
1995-10-01,96.036
1996-01-01,96.053
1996-04-01,96.249
1996-07-01,96.512
1996-10-01,95.568
1997-01-01,96.043
1997-04-01,98.026
1997-07-01,98.427
1997-10-01,98.766
1998-01-01,100.237
1998-04-01,100.93
1998-07-01,101.425
1998-10-01,101.108
1999-01-01,101.14
1999-04-01,100.091
1999-07-01,99.026
1999-10-01,98.083
2000-01-01,96.907
2000-04-01,97.566
2000-07-01,97.354
2000-10-01,97.084
2001-01-01,97.217
2001-04-01,98.602
2001-07-01,99.56
2001-10-01,100.844
2002-01-01,100.652
2002-04-01,99.085
2002-07-01,99.049
2002-10-01,98.647
2003-01-01,96.712
2003-04-01,98.415
2003-07-01,98.316
2003-10-01,98.415
2004-01-01,97.624
2004-04-01,97.515
2004-07-01,96.928
2004-10-01,95.631
2005-01-01,95.892
2005-04-01,95.514
2005-07-01,94.218
2005-10-01,93.208
2006-01-01,93.567
2006-04-01,93.706
2006-07-01,93.917
2006-10-01,95.032
2007-01-01,95.398
2007-04-01,95.053
2007-07-01,94.445
2007-10-01,92.459
2008-01-01,90.796
2008-04-01,88.469
2008-07-01,87.602
2008-10-01,92.312
2009-01-01,97.241
2009-04-01,95.892
2009-07-01,93.994
2009-10-01,92.57
2010-01-01,92.01
2010-04-01,93.516
2010-07-01,94.323
2010-10-01,94.295
2011-01-01,92.968
2011-04-01,92.037
2011-07-01,92.635
2011-10-01,91.912
2012-01-01,91.603
2012-04-01,92.493
2012-07-01,93.946
2012-10-01,93.293
2013-01-01,93.429
2013-04-01,94.009
2013-07-01,94.613
2013-10-01,94.743
2014-01-01,94.278
2014-04-01,94.906
2014-07-01,95.249
2014-10-01,95.41
2015-01-01,97.158
2015-04-01,98.256
2015-07-01,98.398
2015-10-01,99.011
2016-01-01,99.247
2016-04-01,99.759
2016-07-01,99.554
2016-10-01,99.932
2017-01-01,99.556
2017-04-01,99.552
2017-07-01,100.379
2017-10-01,100.505
2018-01-01,99.864
2018-04-01,100.811
2018-07-01,100.887
2018-10-01,101.017
2019-01-01,101.363
2019-04-01,101.683
2019-07-01,102.125
2019-10-01,102.067
2020-01-01,101.916
2020-04-01,100.289
2020-07-01,101.27
2020-10-01,102.063
2021-01-01,104.012
2021-04-01,105.371
2021-07-01,106.201
2021-10-01,106.133
2022-01-01,107.264
2022-04-01,109.384
2022-07-01,107.941
2022-10-01,107.57
2023-01-01,107.952
2023-04-01,108.216
